date,rocket_type,fuel_type,payload_mass,launch_site_lat,launch_site_lon,launch_success,altitude,co2_concentration,nox_concentration,al2o3_concentration,temperature,pressure
2020-01-01,Ariane 5,Solid,2000.0,28.487531794918702,-80.604891540605,True,1000,406.96143426114065,0.1001789471162567,0.011408290059106749,286.277025,89874.11140590039
2020-01-01,Ariane 5,Solid,2000.0,28.487531794918702,-80.604891540605,True,5000,388.9881297393463,0.07004458022212248,0.007663374431917705,278.785125,54018.46477091056
2020-01-01,Ariane 5,Solid,2000.0,28.487531794918702,-80.604891540605,True,10000,378.77348005915707,0.0785763889973201,0.009118967822563398,269.42025,26434.754590986628
2020-01-01,Ariane 5,Solid,2000.0,28.487531794918702,-80.604891540605,True,20000,341.37987385635523,0.06743673447031136,0.008681181790044559,250.6905,4327.55668917896
2020-01-01,Ariane 5,Solid,2000.0,28.487531794918702,-80.604891540605,True,40000,273.0784073968986,0.05357442991356902,0.00613972278464415,213.231,0.4969567309517571
2020-01-08,Atlas V,RP-1/LOX,2030.1507537688442,28.625082251756755,-80.65539708354575,True,1000,408.72763028572706,0.0846640746097946,0.010764189163859956,286.277025,89874.11140590039
2020-01-08,Atlas V,RP-1/LOX,2030.1507537688442,28.625082251756755,-80.65539708354575,True,5000,397.084995536015,0.07424104422032779,0.009764384030171441,278.785125,54018.46477091056
2020-01-08,Atlas V,RP-1/LOX,2030.1507537688442,28.625082251756755,-80.65539708354575,True,10000,374.99479724935065,0.09821196329849076,0.007905006708725836,269.42025,26434.754590986628
2020-01-08,Atlas V,RP-1/LOX,2030.1507537688442,28.625082251756755,-80.65539708354575,True,20000,345.73901223077564,0.059019005036105306,0.007804575248178774,250.6905,4327.55668917896
2020-01-08,Atlas V,RP-1/LOX,2030.1507537688442,28.625082251756755,-80.65539708354575,True,40000,274.2019254853241,0.04983608183109869,0.005493959070925778,213.231,0.4969567309517571
2020-01-15,Atlas V,LH2/LOX,2060.3015075376884,28.39710166233016,-80.66543891560384,True,1000,407.24448435230914,0.10004232770208991,0.009905878787720998,286.277025,89874.11140590039
2020-01-15,Atlas V,LH2/LOX,2060.3015075376884,28.39710166233016,-80.66543891560384,True,5000,395.3853961371304,0.08885608128754748,0.009803613017305254,278.785125,54018.46477091056
2020-01-15,Atlas V,LH2/LOX,2060.3015075376884,28.39710166233016,-80.66543891560384,True,10000,374.44017561057484,0.07756449574449678,0.008743717234358983,269.42025,26434.754590986628
2020-01-15,Atlas V,LH2/LOX,2060.3015075376884,28.39710166233016,-80.66543891560384,True,20000,340.4197536986826,0.07254173343087868,0.00893226193424173,250.6905,4327.55668917896
2020-01-15,Atlas V,LH2/LOX,2060.3015075376884,28.39710166233016,-80.66543891560384,True,40000,272.8251264252622,0.050031333286556685,0.0060168472644287945,213.231,0.4969567309517571
2020-01-22,Falcon 9,RP-1/LOX,2090.452261306533,28.517810835490724,-80.50328057360457,True,1000,406.89341145224034,0.0812834839832435,0.009604577790795394,286.277025,89874.11140590039
2020-01-22,Falcon 9,RP-1/LOX,2090.452261306533,28.517810835490724,-80.50328057360457,True,5000,391.94294923488326,0.09200573390024107,0.010189251954386086,278.785125,54018.46477091056
